,CarID,StartCarDay,StartCarTime,Time,Latitude,Longitude,Velocity,Break,City,Town,Road,RoadSlope,ModelYear,ModelCode,Impulse
0,0bf1ef1d1eafbc934301326325b6903d,20160419,145900,0,100,50,0,2,경기도,김포시,U,-5.883283579,2016,D,0
1,0bf1ef1d1eafbc934301326325b6903d,20160419,145900,1,100,50,0,2,경기도,김포시,U,-5.883283579,2016,D,0
2,0bf1ef1d1eafbc934301326325b6903d,20160419,145900,2,100,50,0,2,경기도,김포시,U,-5.883283579,2016,D,0
3,0bf1ef1d1eafbc934301326325b6903d,20160419,145900,3,100,50,0,1,경기도,김포시,U,-5.883283579,2016,D,0
4,0bf1ef1d1eafbc934301326325b6903d,20160419,145900,4,100,50,0,1,경기도,김포시,U,-5.883283579,2016,D,0
5,0bf1ef1d1eafbc934301326325b6903d,20160419,145900,5,100,50,2,2,경기도,김포시,U,-5.883283579,2016,D,0
6,0bf1ef1d1eafbc934301326325b6903d,20160419,145900,6,100,50,2,2,경기도,김포시,U,-5.883283579,2016,D,0
7,0bf1ef1d1eafbc934301326325b6903d,20160419,145900,7,100,50,1,2,경기도,김포시,U,-5.883283579,2016,D,0
8,0bf1ef1d1eafbc934301326325b6903d,20160419,145900,8,100,50,1,1,경기도,김포시,U,-5.883283579,2016,D,0
9,0bf1ef1d1eafbc934301326325b6903d,20160419,145900,9,100,50,2,2,경기도,김포시,U,-5.883283579,2016,D,0
10,0bf1ef1d1eafbc934301326325b6903d,20160419,145900,10,100,50,1,2,경기도,김포시,U,-5.883283579,2016,D,0
11,0bf1ef1d1eafbc934301326325b6903d,20160419,145900,11,100,50,2,2,경기도,김포시,U,-5.883283579,2016,D,0
12,0bf1ef1d1eafbc934301326325b6903d,20160419,145900,12,100,50,0,2,경기도,김포시,U,-5.883283579,2016,D,0
13,0bf1ef1d1eafbc934301326325b6903d,20160419,145900,13,100,50,0,2,경기도,김포시,U,-5.883283579,2016,D,0
14,0bf1ef1d1eafbc934301326325b6903d,20160419,145900,14,100,50,0,1,경기도,김포시,U,-5.883283579,2016,D,0
15,0bf1ef1d1eafbc934301326325b6903d,20160419,145900,15,100,50,0,1,경기도,김포시,U,-5.883283579,2016,D,0
16,0bf1ef1d1eafbc934301326325b6903d,20160419,145900,16,100,50,0,1,경기도,김포시,U,-5.883283579,2016,D,0
17,0bf1ef1d1eafbc934301326325b6903d,20160419,145900,17,100,50,0,1,경기도,김포시,U,-5.883283579,2016,D,0
18,0bf1ef1d1eafbc934301326325b6903d,20160419,145900,18,100,50,0,2,경기도,김포시,U,-5.883283579,2016,D,0
19,0bf1ef1d1eafbc934301326325b6903d,20160419,145900,19,100,50,2,2,경기도,김포시,U,-5.883283579,2016,D,0
20,0bf1ef1d1eafbc934301326325b6903d,20160419,145900,20,100,50,1,2,경기도,김포시,U,-5.883283579,2016,D,0
21,0bf1ef1d1eafbc934301326325b6903d,20160419,145900,21,100,50,2,2,경기도,김포시,U,-5.883283579,2016,D,0
22,0bf1ef1d1eafbc934301326325b6903d,20160419,145900,22,100,50,2,2,경기도,김포시,U,-5.883283579,2016,D,0
23,0bf1ef1d1eafbc934301326325b6903d,20160419,145900,23,100,50,2,2,경기도,김포시,U,-5.883283579,2016,D,0
24,0bf1ef1d1eafbc934301326325b6903d,20160419,145900,24,100,50,1,2,경기도,김포시,U,-5.883283579,2016,D,0
25,0bf1ef1d1eafbc934301326325b6903d,20160419,145900,25,100,50,1,1,경기도,김포시,U,-5.883283579,2016,D,0
26,0bf1ef1d1eafbc934301326325b6903d,20160419,145900,26,100,50,1,1,경기도,김포시,U,-5.883283579,2016,D,0
27,0bf1ef1d1eafbc934301326325b6903d,20160419,145900,27,100,50,0,1,경기도,김포시,U,-5.883283579,2016,D,0
28,0bf1ef1d1eafbc934301326325b6903d,20160419,145900,28,100,50,0,1,경기도,김포시,U,-5.883283579,2016,D,0
29,0bf1ef1d1eafbc934301326325b6903d,20160419,145900,29,100,50,0,2,경기도,김포시,U,-5.883283579,2016,D,0
30,0bf1ef1d1eafbc934301326325b6903d,20160419,145900,30,120,50,0,1,경기도,김포시,U,-5.883283579,2016,D,0
31,0bf1ef1d1eafbc934301326325b6903d,20160419,145900,31,120,50,0,1,경기도,김포시,U,-5.883283579,2016,D,0
